Year,SA2_code_2016,SA2_code_2016,Population,Population density,Population growth (1 year),Population increase (1 year),Population growth (5 years),Natural increase,Net regional migration,Net overseas migration,Natural increase (ratio to population at start of year),Net regional migration (ratio to population at start of year),Net overseas migration (ratio to population at start of year)
2017,116031318,Prospect Reservoir,40,1.3,0,0,76,0,0,0,0,0,0
2017,116031319,Rooty Hill - Minchinbury,21912,1498.3,1.2,251,7.49356515,95,-107,263,0.438576243,-0.493975347,1.214163704
2017,117011320,Banksmeadow,21,6.2,0,0,40,0,0,0,0,0,0
2017,117011321,Botany,11679,3404.2,3.6,407,22.85474215,78,204,125,0.691980128,1.80979418,1.108942512
2017,117011322,Mascot - Eastlakes,27068,4390.6,5.2,1332,26.23549232,254,142,936,0.986944358,0.551756295,3.636928816
2017,117011323,Pagewood - Hillsdale - Daceyville,12097,3878.9,1.4,166,6.542718017,43,-109,232,0.360405666,-0.913586455,1.944514291
2017,117011324,Port Botany Industrial,7,2.5,0,0,133.3333333,0,0,0,0,0,0
2017,117011325,Sydney Airport,202,22.7,0,0,168,0,0,0,0,0,0
2017,117021326,Marrickville,28223,4855.4,1.1,299,7.05485424,195,-430,534,0.698324022,-1.539893998,1.912333477
2017,117021327,Petersham - Stanmore,21633,7203.1,1.5,319,7.451077533,127,-111,303,0.595852491,-0.520784461,1.421600826
2017,117021328,Sydenham - Tempe - St Peters,8461,2195.4,1.5,125,8.807553026,81,-81,125,0.97168906,-0.97168906,1.499520154
2017,117031329,Darlinghurst,12414,14487.1,1.7,212,11.13678784,74,-181,319,0.606457958,-1.483363383,2.61432552
2017,117031330,Erskineville - Alexandria,17822,4125.5,2.8,482,17.05472244,233,-15,264,1.343713956,-0.08650519,1.522491349
2017,117031331,Glebe - Forest Lodge,21592,9380.5,3.7,778,19.7262391,147,92,539,0.706255405,0.442010185,2.589603152
2017,117031332,Newtown - Camperdown - Darlington,27450,8365.8,4.4,1153,17.97335383,201,116,836,0.764345743,0.441114956,3.179069856
2017,117031333,Potts Point - Woolloomooloo,23809,16317.6,3.6,819,16.96053736,65,207,547,0.282731622,0.900391475,2.379295346
2017,117031334,Pyrmont - Ultimo,24083,16149,3.2,744,15.82384863,202,-503,1045,0.865504092,-2.155190882,4.47748404
2017,117031335,Redfern - Chippendale,25538,11806.2,5.5,1331,33.55235269,127,-380,1584,0.524641633,-1.569793861,6.54356178
2017,117031336,Surry Hills,18064,13722.3,1.2,220,6.408820235,69,-361,512,0.3866846,-2.023088993,2.869311813
2017,117031337,Sydney - Haymarket - The Rocks,31010,7222.7,3.5,1040,20.18786632,197,-535,1378,0.657323991,-1.785118452,4.597931265
2017,117031338,Waterloo - Beaconsfield,37929,10592,7.4,2606,56.57595904,372,470,1764,1.053138182,1.33057781,4.993913314
2017,118011339,Bondi - Tamarama - Bronte,20310,8136,1.1,213,1.957477256,271,-501,443,1.348459969,-2.492909389,2.204309101
2017,118011340,Bondi Beach - North Bondi,22969,9335.1,1.8,410,8.889617077,305,-429,534,1.352010284,-1.901680039,2.367126202
2017,118011341,Bondi Junction - Waverly,18314,7257.7,2.2,390,7.566152951,93,-138,435,0.518857398,-0.769917429,2.426913635
2017,118011342,Centennial Park,3,1.5,0,0,0,0,0,0,0,0,0
2017,118011343,Double Bay - Bellevue Hill,27009,5729.5,0.9,228,2.760865403,146,-283,365,0.545162615,-1.056719316,1.362906538
2017,118011344,Dover Heights,11583,6192.5,0.5,57,3.786590278,122,-157,92,1.058476488,-1.362137775,0.798195384
2017,118011345,Paddington - Moore Park,16657,4471.7,1.5,246,5.691679428,129,-149,266,0.786058132,-0.90792761,1.620864055
2017,118011346,Rose Bay - Vaucluse - Watsons Bay,12729,2478.3,0.3,44,0.557147405,45,-122,121,0.354749704,-0.961765865,0.953882538
2017,118011347,Woollahra,8246,6439.7,1,80,5.781695618,57,-97,120,0.698016165,-1.18785207,1.469507715
2017,118021348,Coogee - Clovelly,27729,7229.4,1.5,404,7.043666101,284,-380,500,1.039341263,-1.390667887,1.829826167
2017,118021350,Malabar - La Perouse - Chifley,26095,2206.7,2.7,690,12.464515,30,344,316,0.118086991,1.354064161,1.243849636
2017,118021564,Kensington (NSW),16291,6165.7,3.4,543,17.1123378,55,-606,1094,0.349250699,-3.848107696,6.946913894
2017,118021565,Kingsford,16860,8371,2.4,389,11.94839563,59,-877,1207,0.358205331,-5.324509744,7.328031085
2017,118021566,Maroubra - North,10437,5762.5,0.7,72,5.020420361,-4,-146,222,-0.038591413,-1.408586589,2.141823444
2017,118021567,Maroubra - South,11314,5478.9,0.2,21,-0.620195667,99,-352,274,0.876649252,-3.116975117,2.426281767
2017,118021568,Maroubra - West,10999,5374.8,1.5,166,6.155330439,80,-312,398,0.738484261,-2.880088618,3.673959199
2017,118021569,Randwick - North,18020,9309.8,0.8,140,3.652994305,141,-378,377,0.788590604,-2.11409396,2.108501119
2017,118021570,Randwick - South,14238,4221.7,2.1,292,12.40755311,129,-277,440,0.924996415,-1.986232612,3.155026531
2017,119011354,Bass Hill - Georges Hall,23154,2596.9,1.7,384,8.486012839,100,130,154,0.439174352,0.570926658,0.676328502
2017,119011355,Chullora,1225,302.5,33.9,310,24960,21,266,23,2.295081967,29.07103825,2.513661202
2017,119011356,Condell Park,12180,1217.6,2.8,336,12.16975053,130,89,117,1.097602161,0.751435326,0.987841945
2017,119011357,Greenacre - Mount Lewis,27588,3951.5,1.1,308,6.522409936,194,-128,242,0.711143695,-0.469208211,0.887096774
2017,119011358,Padstow,17217,2645.1,1.2,205,5.687088113,45,-34,194,0.264519163,-0.199858923,1.140371502
2017,119011359,Panania - Milperra - Picnic Point,26873,1867.4,1.6,412,6.803391836,174,42,196,0.65757152,0.15872416,0.740712747
2017,119011360,Revesby,17066,3351.2,1.6,266,8.169459374,51,-13,228,0.303571429,-0.077380952,1.357142857
2017,119011361,Yagoona - Birrong,21834,3927.3,1.5,329,9.28368759,174,-89,244,0.809114159,-0.413857243,1.134619856
2017,119011571,Bankstown - North,17318,6319.1,1.5,261,5.860805861,278,-469,452,1.629829396,-2.749604268,2.649938442
2017,119011572,Bankstown - South,16956,3833.4,1.1,191,3.365207797,214,-323,300,1.276468834,-1.926632866,1.78944229
2017,119021362,Belmore - Belfield,20127,4459.3,0.7,143,1.853450465,155,-290,278,0.775620496,-1.451160929,1.39111289
2017,119021363,Canterbury (South) - Campsie,32907,6887.6,2.8,890,13.7023719,283,-642,1249,0.883905425,-2.005184746,3.901052566
2017,119021364,Kingsgrove (North) - Earlwood,25211,3073.9,0.8,197,4.448854709,99,-121,219,0.395778364,-0.483729112,0.875509715
2017,119021366,Punchbowl,21935,4181.4,1.1,242,8.148474609,310,-416,348,1.429032407,-1.917669294,1.604204121
2017,119021367,Roselands,14301,3922.3,0.7,93,5.735208817,102,-182,173,0.717905405,-1.280968468,1.217623874
2017,119021573,Lakemba,18292,8365.5,1.3,236,7.475417605,340,-743,639,1.883030572,-4.114975631,3.538989809
2017,119021574,Wiley Park,11030,7916.5,1.7,183,4.566429533,221,-443,405,2.037429704,-4.084078547,3.733751268
2017,119031368,Hurstville,25742,7071.8,3.6,897,17.02931537,168,-523,1252,0.676192393,-2.105051318,5.039243309
2017,119031369,Mortdale - Penshurst,25195,4119.3,1.6,401,6.808059385,196,-366,571,0.790513834,-1.476163588,2.302976527
2017,119031370,Narwee - Beverly Hills,14587,4301.8,1.7,250,6.63003663,68,-83,265,0.474297273,-0.578921671,1.848364372
2017,119031371,Oatley - Hurstville Grove,13401,3077.2,1.4,187,4.108618654,67,-42,162,0.50703799,-0.31784471,1.225972453
2017,119031372,Peakhurst - Lugarno,19093,2569.4,2.8,522,4.717032817,-6,315,213,-0.032308438,1.696192989,1.146949545
2017,119031373,Riverwood,11999,4326.6,2.3,275,17.92545849,75,-121,321,0.639713408,-1.032070966,2.737973388
2017,119031374,South Hurstville - Blakehurst,25433,4070,0.7,185,4.845377873,97,-552,640,0.384188847,-2.186311787,2.534854246
2017,119041375,Arncliffe - Bardwell Valley,24873,4982,8.6,1962,47.39901536,257,483,1222,1.121731919,2.108157654,5.333682511
2017,119041376,Bexley,28200,5343.1,1.1,319,4.922414433,148,-486,657,0.530827445,-1.743122557,2.356443456
2017,119041377,Kingsgrove (South) - Bardwell Park,13463,3555,1.2,164,5.085803432,106,-140,198,0.79705241,-1.05271073,1.488833747
2017,119041378,Kogarah,12226,5508,2.7,325,15.97301406,153,-404,576,1.285606252,-3.394672717,4.839929418
2017,119041379,Kogarah Bay - Carlton - Allawah,16943,4836.3,1.2,202,7.027468728,191,-448,459,1.140911535,-2.676064751,2.741771698
2017,119041380,Monterey - Brighton-le-Sands - Kyeemagh,14936,4419.1,1.4,208,7.24483273,77,-119,250,0.522813688,-0.807984791,1.69744704
